section	category	title	artist	members	tj	ky	release_date	note	sort_order
unit	cover	GETCHA!	유즈하 리코, 아오쿠모 린	아오쿠모 린, 유즈하 리코					41
unit	cover	소리가 나는 쪽으로 (オトノナルホウへ)	UNIVERSE(시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비)	시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비	28182	43869			42
unit	cover	사랑하고 있는거야 (恋しているのさ)	네네코 마시로, 아라하시 타비	네네코 마시로, 아라하시 타비					43
collab	original	TOMBOY	토도로키 하지메, 하나코 나나	하나코 나나	81343	23767			44
collab	original	Dynamite	네리사 레이븐크로프트, 아오쿠모 린	아오쿠모 린	75520	28017			45
collab	original	목숨	Miiro, 아카네 리제	아카네 리제	87849				46
collab	original	도깨비꽃	TAK, 텐코 시부키	텐코 시부키	87685	51607			47
collab	original	Frozen Eclipse	에픽세븐, 아이리 칸나	아이리 칸나	77931				48
collab	original	색채 (色彩)	Team. Palette, 아이리 칸나	아이리 칸나					49
gift	original	Stranger	아카네 리제	아카네 리제					50
solo	original	푸른 보석과 어린 용 (青い宝石と竜の子)	아이리 칸나	아이리 칸나		75695			51
solo	original	최종화(Acoustic Ver.) (最終花)	아이리 칸나	아이리 칸나	44429				52
solo	original	최종화 (最終花)	아이리 칸나	아이리 칸나	44108	80603			53
solo	original	ADDICT!ON	아이리 칸나	아이리 칸나	83718	75422			54
solo	cover	Love wins all	아이리 칸나	아이리 칸나	85842	80783			55
solo	cover	역광 (逆光)	아이리 칸나	아이리 칸나	68868	76509			56
solo	cover	애타는 한 가슴을 달랠 수 있다면 (傷つく誰かの心を守ることができたなら)	아이리 칸나	아이리 칸나					57
solo	cover	괴수의 꽃노래 (怪獣の花唄)	아이리 칸나	아이리 칸나	52988	57775			58
solo	cover	감 그레이 (勘ぐれい)	아이리 칸나	아이리 칸나	68357				59
solo	cover	사랑해줘 사랑해줘 사랑해줘 (愛して愛して愛して)	아이리 칸나	아이리 칸나					60
solo	cover	지구본 (地球儀)	아이리 칸나	아이리 칸나	68840	44993			61
solo	cover	KICK BACK	아이리 칸나	아이리 칸나	68677	44855			62
solo	cover	LADY	아이리 칸나	아이리 칸나	68495	76514			63
solo	cover	잠이 드는 거리 (ねむるまち)	아이리 칸나	아이리 칸나					64
solo	cover	아이돌 (アイドル)	아이리 칸나	아이리 칸나	68781	44923			65
solo	cover	에러 (ERROR)	아이리 칸나	아이리 칸나					66
solo	cover	스즈메 (すずめ)	아이리 칸나	아이리 칸나	68759	76511			67
solo	cover	삼문소설 (三文小説)	아이리 칸나	아이리 칸나	68346	44630			68
solo	cover	신시대 (新時代)	아이리 칸나	아이리 칸나	68799	57817			69
solo	cover	좋아하니까 (好きだから。)	아이리 칸나	아이리 칸나	68523	44734			70
solo	cover	Cookie	아이리 칸나	아이리 칸나	82076	28888			71
solo	cover	나는 최강 (私は最強)	아이리 칸나	아이리 칸나	52717	76515			72
solo	original	CHEWING LUV	아야츠노 유니	아야츠노 유니	51731				73
solo	original	삐질게	아야츠노 유니	아야츠노 유니	51617				74
solo	original	SUPADOPA	아야츠노 유니	아야츠노 유니					75
solo	original	내꺼 하는 법	아야츠노 유니	아야츠노 유니	84251	99555			76
solo	cover	오네가이 달링 (おねがいダーリン)	아야츠노 유니	아야츠노 유니					77
solo	cover	참생활 (真生活)	아야츠노 유니	아야츠노 유니					78
solo	cover	Lilac (ライラック)	아야츠노 유니	아야츠노 유니	68461	75996			79
solo	cover	연애 서큘레이션 (恋愛サーキュレーション)	아야츠노 유니	아야츠노 유니	27027	43227			80
solo	cover	두근어질 (きゅうくらりん)	아야츠노 유니	아야츠노 유니	52506				81
solo	cover	Mela!	아야츠노 유니	아야츠노 유니	68562	75929			82
solo	cover	아이돌 (アイドル)	아야츠노 유니	아야츠노 유니	68781	44923			83
solo	cover	굿바이 선언 (グッバイ宣言)	아야츠노 유니	아야츠노 유니	68500				84
solo	cover	사랑의 말 Ⅳ (愛言葉Ⅳ)	아야츠노 유니	아야츠노 유니					85
solo	cover	베텔기우스 (ベテルギウス)	아야츠노 유니	아야츠노 유니	68553	44746			86
solo	cover	긍지높은 아이돌 (誇り高きアイドル)	아야츠노 유니	아야츠노 유니					87
solo	cover	Booo!	사키하네 후야	사키하네 후야					88
solo	cover	Melt CPK! Remix (メルト)	사키하네 후야	사키하네 후야	26749	42670			89
solo	cover	푸른 하늘의 랩소디 (青空のラプソディ)	사키하네 후야	사키하네 후야	28658	44130			90
solo	cover	CHEWING LUV	사키하네 후야	사키하네 후야	51731				91
solo	cover	별자리가 될 수 있다면 (星座になれたら)	사키하네 후야	사키하네 후야	68748	44888			92
solo	original	하나(夏拏)	시라유키 히나	시라유키 히나					93
solo	cover	내일 또 보자 (またあした)	시라유키 히나	시라유키 히나					94
solo	cover	춘수 (春愁)	시라유키 히나	시라유키 히나	68207	44523			95
solo	cover	Acacia	시라유키 히나	시라유키 히나					96
solo	cover	바다의 유령 (海の幽霊)	시라유키 히나	시라유키 히나	68019	44480			97
solo	cover	계절범죄	시라유키 히나	시라유키 히나	83601	93359			98
solo	cover	Melt (メルト)	시라유키 히나	시라유키 히나	26749	42670			99
solo	cover	크리스마스 송 (クリスマスソング)	시라유키 히나	시라유키 히나	27807	43987			100
